comment,label,cleaned_text
25 කෙල්ල අයියලගෙ කාලද කොහෙද ඉන්නෙ,harassment,25 කෙල්ල අයියලගෙ කාලද කොහෙද ඉන්නෙ
5 ම සීස කරල ගතතෙ අනිත් උන් හුකද්දි හිරට තියෙන්න ඕන නිසාද ..බලු හුත්ති ..,harassment,5 ම සීස කරල ගතතෙ අනිත් උන් හුකද්දි හිරට තියෙන්න ඕන නිසාද ..බලු හුත්ති ..
50 එකෙක් අරිද්දි 25 එකෙක් ඇරියා වගේ ඇති..,harassment,50 එකෙක් අරිද්දි 25 එකෙක් ඇරියා වගේ ඇති..
6 වෙනි දරුවා හදාගන්න ඕනි වෙලා වගේ...,harassment,6 වෙනි දරුවා හදාගන්න ඕනි වෙලා වගේ...
60 වත්තේ බඩූවක්,harassment,60 වත්තේ බඩූවක්
"අකෙ පට්ට..වෙසියෙ..තො.තොගෙ තාත්තට ජතකවද..පහක් වැදුවෙ පදුරැ වෙසි .තො..හිතපිය .තොඉපදුනෙ කොහෙද කියක..බල්ල,මෙවගෙ උතුම් රටක් තවත්..කොහෙද..තියෙන්නෙ..තොකියපු..වචනයක්..ගානෙ..තොගෙ.පවුලටම..සාප.වේවා සාප.වෙවා..සාප.වෙවා",harassment,"අකෙ පට්ට..වෙසියෙ..තො.තොගෙ තාත්තට ජතකවද..පහක් වැදුවෙ පදුරැ වෙසි .තො..හිතපිය .තොඉපදුනෙ කොහෙද කියක..බල්ල,මෙවගෙ උතුම් රටක් තවත්..කොහෙද..තියෙන්නෙ..තොකියපු..වචනයක්..ගානෙ..තොගෙ.පවුලටම..සාප.වේවා සාප.වෙවා..සාප.වෙවා"
අක්ක බැදල නැත්තන් අපි පෝලිමක් දාමු අක්කේ...,harassment,අක්ක බැදල නැත්තන් අපි පෝලිමක් දාමු අක්කේ...
අක්කගේ පූසා හොදටම පිං කරලා තියෙනවා ඉන්න...,harassment,අක්කගේ පූසා හොදටම පිං කරලා තියෙනවා ඉන්න...
අක්කට කාරයෙක් හොදටම හුකල වගෙ ඔය හුත්තිගෙ අම්මා ට හිකුවෙත් කාරයෙද්ද කොහෙද වගෙ,harassment,අක්කට කාරයෙක් හොදටම හුකල වගෙ ඔය හුත්තිගෙ අම්මා ට හිකුවෙත් කාරයෙද්ද කොහෙද වගෙ
අක්කෙ ඔයා මයිල් ගාලද බලන්න එක මයිල් ගහක් බාගෙට ඇමිනිලා අති එකයි කහන්නෙ.,harassment,අක්කෙ ඔයා මයිල් ගාලද බලන්න එක මයිල් ගහක් බාගෙට ඇමිනිලා අති එකයි කහන්නෙ.
අක්කෙ ලන්කාවට වඩා ලොකු මීයො ඉන්නවද,harassment,අක්කෙ ලන්කාවට වඩා ලොකු මීයො ඉන්නවද
අක්කේ ඉස්සා පුකෙද? ,harassment,අක්කේ ඉස්සා පුකෙද?
