comment,cleaned_text,confidence
ඒක යද්දි උඹලැයි අම්ම උඹට අඩ ගහල උඹව දීල බේසමක් ගත්තනං මෙහෙම වෙන් නෑ,ඒක යද්දි උඹලැයි අම්ම උඹට අඩ ගහල උඹව දීල බේසමක් ගත්තනං මෙහෙම වෙන් නෑ,0.8999
ඒ අස්සේ අර නාකි මනමාලයා බොරදියේ මාළු බානවා  කෙළි මඩුවකි ට්විටරය කැරකි කැරකි දෛවේ,ඒ අස්සේ අර නාකි මනමාලයා බොරදියේ මාළු බානවා කෙළි මඩුවකි ට්විටරය කැරකි කැරකි දෛවේ,0.8999
@USER උඹ වගේ ගොං ඇපලෙක් මෝඩ මැකෙක්.  #TalkLikeElection @USER  @USER  @USER  @USER,උඹ වගේ ගොං ඇපලෙක් මෝඩ මැකෙක්. තල්ක්ලිකෙඑලෙක්තිඔන්,0.8999
අර හැංගිලා හිටපු හම්සාගේ පයිය උරන ටොයියෝ ටික රෙදි ගලවන් පාටලීට කඩේ යනවා මේකේ! හොදට මීටර් කරන් අමතක වෙනවනම් screenshot ගහගනින!!   #lka #srilanka #lka,අර හැංගිලා හිටපු හම්සාගේ පයිය උරන ටොයියෝ ටික රෙදි ගලවන් පාටලීට කඩේ යනවා මේකේ! හොදට මීටර් කරන් අමතක වෙනවනම් ස්ච්රීන්ශෝට් ගහගනින!! ලක ශ්‍රීලංකා ලක,0.8999
@USER @USER  CA: මේ ගසේ බොහෝ පැණි දොඩම් තිබේ Thor: මං දෙන්නං මිටියෙන්. උඹ අල්ලපන් තැටිය  CA: හිමින් ගහපන්. දොඩම් තැලෙයි #TweepsAssemble,චා මේ ගසේ බොහෝ පැණි දොඩම් තිබේ තොර මං දෙන්නං මිටියෙන්. උඹ අල්ලපන් තැටිය චා හිමින් ගහපන්. දොඩම් තැලෙයි ට්වීප්සස්සෙම්බ්ලේ,0.8999
"අර ශර්මිනි ආන්ටිගේ ජාතකෙන් බිහිවෙච්ච තව එකෙක් ඉන්නවා දැක්කා, ජොබ් වලට කෙලින්න බලන් ඉන්න.   යකෝ අපි මේක දාන ඒවා දිරවන්නේ නැත්නම් unfollow කරලා, block කරපිය, ss ගගහා, චීත්ත වගේ හැමිනෙන්න හදන්නේ නැතුව. #SSUncle","අර ශර්මිනි ආන්ටිගේ ජාතකෙන් බිහිවෙච්ච තව එකෙක් ඉන්නවා දැක්කා, ජොබ් වලට කෙලින්න බලන් ඉන්න. යකෝ අපි මේක දාන ඒවා දිරවන්නේ නැත්නම් උන්ෆොල්ලොව් කරලා, block කරපිය, සස් ගගහා, චීත්ත වගේ හැමිනෙන්න හදන්නේ නැතුව. ස්සුන්ච්ලේ",0.8999
කොටින්ගෙ තඩි කොඩි පෙන්නෙ නැති උන් රවුම් කර කර බිගේඩියර්ගෙ අර පොඩි සිංහ කොඩිය පෙන්නනව කියහන්කො නොදකින් — feeling shame,කොටින්ගෙ තඩි කොඩි පෙන්නෙ නැති උන් රවුම් කර කර බිගේඩියර්ගෙ අර පොඩි සිංහ කොඩිය පෙන්නනව කියහන්කො නොදකින් — feeling shame,0.8999
"-මල්ලී, 32 කොල තීනවද??? -නෑනේ, නෑ, තියෙන්නේ 10,20,50,100,500,1000,5000 කොල තමයි...  -යකෝ, මං ඇහුවේ වැලි කොල උගුඩුවෝ... #SK","-මල්ලී, 32 කොල තීනවද??? -නෑනේ, නෑ, තියෙන්නේ 10,20,50,100,500,1000,5000 කොල තමයි... -යකෝ, මං ඇහුවේ වැලි කොල උගුඩුවෝ... ස්ක්",0.8999
වෙශාවිය  කීවට  කමක්  නැහැ  අතින්  අතට යන  වේසි -_- URL,වෙශාවිය කීවට කමක් නැහැ අතින් අතට යන වේසි -_- උර්ල්,0.8994
ඉස්කෝලෙ හැමදේම උගන්නන්නෙ බාගෙට. රීල සබන් දාල අත හෝදගන්න කීවට කවදද කියපල්ල පුක හෝදගන්න කියල කිවුවෙ ? @USER,ඉස්කෝලෙ හැමදේම උගන්නන්නෙ බාගෙට. රීල සබන් දාල අත හෝදගන්න කීවට කවදද කියපල්ල පුක හෝදගන්න කියල කිවුවෙ ?,0.8994
"රට ගණන්ගනීද ඉත්තෑවො ලෝකයා, තෝ වගේ තට්ට හොරුන්ට ඒ රටේ අපි තාම වඳිත්දි.","රට ගණන්ගනීද ඉත්තෑවො ලෝකයා, තෝ වගේ තට්ට හොරුන්ට ඒ රටේ අපි තාම වඳිත්දි.",0.8994
පොශ් කට්ටිය කඩ්ඩෙන් fucking කියන්වා හැදිච්ච සිංහල ළමයි තරු දාලා හු*න කියලා ලියන්වා ඔය අතරේ අපි වගේ මිනිස්සු සිංහලෙන් හුකන කියලා ලිව්වොත් අනික් මිනිස්සු කියනවා අපෝ නැහැදිච්ච ගොඩේ වනචර හැත්ත කියලා.   ෆකින් ලොජික්ස් Ranuka® @USER  · 21 Oct 2018 මම මේ හු*න ජීවිතයට වෛර කරනවා  Show this thread,පොශ් කට්ටිය කඩ්ඩෙන් ෆුච්කින්ග් කියන්වා හැදිච්ච සිංහල ළමයි තරු දාලා හු*න කියලා ලියන්වා ඔය අතරේ අපි වගේ මිනිස්සු සිංහලෙන් හුකන කියලා ලිව්වොත් අනික් මිනිස්සු කියනවා අපෝ නැහැදිච්ච ගොඩේ වනචර හැත්ත කියලා. ෆකින් ලොජික්ස් රනුක · 21 ඔච්ට් 2018 මම මේ හු*න ජීවිතයට වෛර කරනවා Show this thread,0.8994
